System Key,Control ID,GRC Key,Control Title,Control Description,Owner,Frequency,Risk ID,Status,Tested,Last Reviewed,Source Modified,Issue ID,Issue Status
IA-canon-ac-01,ITGC-AC-01,GRC-AC-01,Joiner-mover-leaver for core and network IDs,"New core-banking, FedLine, and Active Directory IDs are requested through the access ticket, approved by the employee's manager and the application owner, and provisioned by IT Operations. Movers are recertified within five business days of the role change. Leavers are disabled the same day HR marks the last day.",Ruth Okonkwo,Daily,RISK-ACC-01; RISK-HR-01,active,Y,2026-03-12,2026-03-12,,
IA-canon-ac-02,ITGC-AC-02,,Quarterly recertification of privileged core IDs,"Application owners recertify every privileged ID on the core, SWIFT gateway, and domain admin groups each calendar quarter. IDs not recertified by the due date are disabled by IT Operations the next business day.",Elena Voss,Quarterly,RISK-ACC-01,active,Y,2026-02-20,2026-02-20,,
IA-canon-ac-03,ITGC-AC-03,GRC-AC-03,Segregation of duties: note origination vs GL posting,No user may both originate a commercial note in the core and post the related general-ledger entry. The SOD matrix is reviewed when roles change and at least annually. Exceptions require CFO written approval and a compensating review.,Chris Molina,Annual,RISK-SOD-01,active,Y,2026-01-18,2026-01-18,ISS-118,open
IA-canon-ac-04,ITGC-AC-04,,Privileged access on FedLine and core is named and logged,"Shared or generic administrator IDs are prohibited on FedLine, the core, and the wire room workstation. Each privileged session is logged and reviewed weekly by Information Security.",Hannah Briggs,Weekly,RISK-ACC-01,active,Y,2026-04-02,2026-04-02,,
IA-canon-ac-05,ITGC-AC-05,,Lockout after failed logons on employee SSO and digital banking admin,Employee SSO and the digital-banking administration console lock an ID after five consecutive failed logons. Unlock requires a service desk ticket and manager confirmation.,Tom Alvarez,Continuous,RISK-ACC-01,active,Y,2026-03-01,2026-03-01,,
IA-canon-ia-01,ITGC-IA-01,GRC-IA-01,MFA for remote access and privileged core sessions,"Remote VPN, cloud admin, and any privileged core session require phishing-resistant multi-factor authentication. Emergency break-glass IDs are stored with dual control and logged.",Priya Nandakumar,Continuous,RISK-ACC-01,active,Y,2026-04-10,2026-04-10,,
IA-canon-ia-02,ITGC-IA-02,,Authenticator issuance and reset,Hardware tokens and password resets for core and FedLine are issued only after in-person or video identity verification against HR records. Default passwords are changed before the ID is activated.,Marcus Hale,Daily,RISK-ACC-01,active,Y,2026-02-08,2026-02-08,,
IA-canon-au-01,ITGC-AU-01,,Security and core application logging enabled,"Logon, privileged commands, and parameter changes on the core, Active Directory, and firewalls are logged and retained for 18 months. Logging cannot be disabled without a change ticket.",Hannah Briggs,Continuous,RISK-LOG-01,active,Y,2026-03-22,2026-03-22,,
IA-canon-au-02,ITGC-AU-02,,Weekly SIEM review of privileged and failed-access events,"Information Security reviews the SIEM dashboard of privileged use and failed access each week, documents the review, and opens an incident ticket for unexplained activity within one business day.",Hannah Briggs,Weekly,RISK-LOG-01,active,Y,2026-04-15,2026-04-15,,
IA-canon-cm-01,ITGC-CM-01,,Production changes to core and interfaces require a ticket,"Every production change to the core, ACH/wire interfaces, and general ledger feed requires a change ticket, test evidence, and approval by IT Operations and the application owner before migration. Emergency changes are retro-approved within two business days.",Marcus Hale,Quarterly,RISK-CHG-01,active,Y,2026-03-28,2026-03-28,,
